model,temperature,correct_count,incorrect_count,accuracy,f1_score,avg_chemical_similarity,avg_string_distance,incorrect_smiles_count
oa:gpt-3.5-turbo-0125,0.0,0,100,0.0,0.0,-0.012512913829952224,8.66,14
oa:gpt-3.5-turbo-0125,0.5,0,100,0.0,0.0,-0.02628390029527484,8.01,18
oa:gpt-3.5-turbo-0125,1.0,0,100,0.0,0.0,0.013792112929293459,7.83,12
oa:gpt-3.5-turbo-0125,1.5,0,100,0.0,0.0,-0.14970782075361636,11.48,27
oa:gpt-4-1106-preview,0.0,3,97,0.03,0.05825242718446602,0.16425813140931553,7.62,3
oa:gpt-4-1106-preview,0.5,5,95,0.05,0.09523809523809523,0.2055973098106028,7.0,3
oa:gpt-4-1106-preview,1.0,4,96,0.04,0.07692307692307693,0.1150648468275894,7.99,8
oa:gpt-4-1106-preview,1.5,2,98,0.02,0.0392156862745098,0.12640295666789939,8.69,5
