model,temperature,correct_count,incorrect_count,accuracy,f1_score,avg_chemical_similarity,avg_string_distance,incorrect_smiles_count
oa:gpt-4o-2024-08-06,0.0,4,96,0.04,0.07692307692307693,0.22737590968346322,5.39,4
oa:gpt-4o-2024-08-06,0.5,4,96,0.04,0.07692307692307693,0.23116802861529506,5.45,3
oa:gpt-4o-2024-08-06,1.0,7,93,0.07,0.13084112149532712,0.28210049215301947,5.28,3
oa:gpt-4o-2024-08-06,1.5,4,96,0.04,0.07692307692307693,0.13212959331812812,6.06,9
oa:gpt-4o-mini-2024-07-18,0.0,1,99,0.01,0.019801980198019802,0.029575869896223215,6.86,14
oa:gpt-4o-mini-2024-07-18,0.5,1,99,0.01,0.019801980198019802,0.11386412609866634,6.59,8
oa:gpt-4o-mini-2024-07-18,1.0,2,98,0.02,0.0392156862745098,-0.07026599548544896,6.68,24
oa:gpt-4o-mini-2024-07-18,1.5,1,99,0.01,0.019801980198019802,-0.03663912899321644,7.8,19
